espn_id,school,name,abbreviation,color,stadium,city,state,zip,grass,stadium_indoor,division
26,UCLA,Bruins,UCLA,2774ae,Rose Bowl,Pasadena,CA,91103,True,False,Pac-12
23,San José State,Spartans,SJSU,005893,CEFCU Stadium,San Jose,CA,95112,False,False,Mountain West
164,Rutgers,Scarlet Knights,RUTG,d21034,SHI Stadium,Piscataway,NJ,08854,False,False,Big Ten - East
150,Duke,Blue Devils,DUKE,013088,Wallace Wade Stadium,Durham,NC,27708,True,False,ACC
97,Louisville,Cardinals,LOU,c9001f,L&N Federal Credit Union Stadium,Louisville,KY,40208,False,False,ACC
52,Florida State,Seminoles,FSU,782f40,Doak Campbell Stadium,Tallahassee,FL,32304,True,False,ACC
194,Ohio State,Buckeyes,OSU,ce1141,Ohio Stadium,Columbus,OH,43210,False,False,Big Ten - East
2633,Tennessee,Volunteers,TENN,ff8200,Neyland Stadium,Knoxville,TN,37996,True,False,SEC - East
152,NC State,Wolfpack,NCSU,cc0000,Carter-Finley Stadium,Raleigh,NC,27607,True,False,ACC
2641,Texas Tech,Red Raiders,TTU,000000,Jones AT&T Stadium,Lubbock,TX,79407,False,False,Big 12
99,LSU,Tigers,LSU,461d7c,Tiger Stadium (LA),Baton Rouge,LA,70803,True,False,SEC - West
204,Oregon State,Beavers,ORST,231f20,Reser Stadium,Corvallis,OR,97331,False,False,Pac-12
153,North Carolina,Tar Heels,UNC,7bafd4,Kenan Stadium,Chapel Hill,NC,27514,True,False,ACC
265,Washington State,Cougars,WSU,981e32,Gesa Field,Pullman,WA,99164,False,False,Pac-12
38,Colorado,Buffaloes,COLO,000000,Folsom Field,Boulder,CO,80305,True,False,Pac-12
228,Clemson,Tigers,CLEM,f56600,"Memorial Stadium (Clemson, SC)",Clemson,SC,29634,True,False,ACC
349,Army,Black Knights,ARMY,ce9c00,Michie Stadium,West Point,NY,10996,False,False,FBS (I-A)
258,Virginia,Cavaliers,UVA,232d4b,Scott Stadium,Charlottesville,VA,22903,False,False,ACC
59,Georgia Tech,Yellow Jackets,GT,003057,Bobby Dodd Stadium,Atlanta,GA,30332,False,False,ACC
2117,Central Michigan,Chippewas,CMU,6a0032,Kelly/Shorts Stadium,Mount Pleasant,MI,48858,False,False,Mid-American - West
189,Bowling Green,Falcons,BGSU,2b1000,Doyt L. Perry Stadium,Bowling Green,OH,43403,False,False,Mid-American - East
77,Northwestern,Wildcats,NU,582c83,Ryan Field,Evanston,IL,60208,True,False,Big Ten - West
113,Massachusetts,Minutemen,MASS,880007,Warren McGuirk Alumni Stadium,Amherst,MA,01003,False,False,FBS Independents
2636,UTSA,Roadrunners,UTSA,002A5C,Alamodome,San Antonio,TX,78203,False,True,American
2426,Navy,Midshipmen,NAVY,00225b,Navy-Marine Corps Memorial Stadium,Annapolis,MD,21401,False,False,American
2459,Northern Illinois,Huskies,NIU,F1122C,Huskie Stadium,Dekalb,IL,60115,False,False,Mid-American - West
2649,Toledo,Rockets,TOL,0a2240,Glass Bowl,Toledo,OH,43606,False,False,Mid-American - West
151,East Carolina,Pirates,ECU,4b1869,Dowdy-Ficklen Stadium,Greenville,NC,37604,True,False,American
6,South Alabama,Jaguars,USA,003E7E,Hancock Whitney Stadium,Mobile,AL,36688,True,False,Sun Belt - West
277,West Virginia,Mountaineers,WVU,002855,Milan Puskar Stadium,Morgantown,WV,26505,False,False,Big 12
295,Old Dominion,Monarchs,ODU,00507d,S.B. Ballard Stadium,Norfolk,VA,23508,False,False,Sun Belt - East
